@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 numeric
@attribute outputs-14 numeric
@attribute outputs-15 numeric
@attribute outputs-16 numeric
@attribute outputs-17 numeric
@attribute outputs-18 numeric
@attribute outputs-19 numeric

@data
81,'2019/02/12 15:54:29:285',1,130,422,0.24594,0.109665,0.07191,0.624492,0.661936,0.702897,0.240426,0.280833,0.321368,0.560833,0.00782,0.798149,0.931573,0.983034,0.015844,0.260499,0.689715,0.079436,0.472163
82,'2019/02/12 15:54:29:368',1,86,428,0.24594,0.109665,0.07191,0.624492,0.661936,0.702897,0.240426,0.280833,0.321368,0.560833,0.00782,0.798149,0.931573,0.983034,0.015844,0.260499,0.689715,0.079436,0.472163
83,'2019/02/12 15:54:29:453',1,47,431,0.24594,0.109665,0.07191,0.624492,0.661936,0.702897,0.240426,0.280833,0.321368,0.560833,0.00782,0.798149,0.931573,0.983034,0.015844,0.260499,0.689715,0.079436,0.472163
84,'2019/02/12 15:54:29:536',1,37,443,0.24594,0.109665,0.07191,0.624492,0.661936,0.702897,0.240426,0.280833,0.321368,0.560833,0.00782,0.798149,0.931573,0.983034,0.015844,0.260499,0.689715,0.079436,0.472163
85,'2019/02/12 15:54:29:635',1,41,452,0.24594,0.109665,0.07191,0.624492,0.661936,0.702897,0.240426,0.280833,0.321368,0.560833,0.00782,0.798149,0.931573,0.983034,0.015844,0.260499,0.689715,0.079436,0.472163
86,'2019/02/12 15:54:29:702',1,79,457,0.24594,0.109665,0.07191,0.624492,0.661936,0.702897,0.240426,0.280833,0.321368,0.560833,0.00782,0.798149,0.931573,0.983034,0.015844,0.260499,0.689715,0.079436,0.472163
87,'2019/02/12 15:54:29:785',1,111,454,0.24594,0.109665,0.07191,0.624492,0.661936,0.702897,0.240426,0.280833,0.321368,0.560833,0.00782,0.798149,0.931573,0.983034,0.015844,0.260499,0.689715,0.079436,0.472163
88,'2019/02/12 15:54:29:868',1,143,450,0.24594,0.109665,0.07191,0.624492,0.661936,0.702897,0.240426,0.280833,0.321368,0.560833,0.00782,0.798149,0.931573,0.983034,0.015844,0.260499,0.689715,0.079436,0.472163
89,'2019/02/12 15:54:29:954',1,175,450,0.24594,0.109665,0.07191,0.624492,0.661936,0.702897,0.240426,0.280833,0.321368,0.560833,0.00782,0.798149,0.931573,0.983034,0.015844,0.260499,0.689715,0.079436,0.472163
90,'2019/02/12 15:54:30:036',1,191,450,0.24594,0.109665,0.07191,0.624492,0.661936,0.702897,0.240426,0.280833,0.321368,0.560833,0.00782,0.798149,0.931573,0.983034,0.015844,0.260499,0.689715,0.079436,0.472163
91,'2019/02/12 15:54:30:121',1,209,453,0.24594,0.109665,0.07191,0.624492,0.661936,0.702897,0.240426,0.280833,0.321368,0.560833,0.00782,0.798149,0.931573,0.983034,0.015844,0.260499,0.689715,0.079436,0.472163
92,'2019/02/12 15:54:30:219',1,225,454,0.24594,0.109665,0.07191,0.624492,0.661936,0.702897,0.240426,0.280833,0.321368,0.560833,0.00782,0.798149,0.931573,0.983034,0.015844,0.260499,0.689715,0.079436,0.472163
93,'2019/02/12 15:54:30:286',1,243,451,0.24594,0.109665,0.07191,0.624492,0.661936,0.702897,0.240426,0.280833,0.321368,0.560833,0.00782,0.798149,0.931573,0.983034,0.015844,0.260499,0.689715,0.079436,0.472163
94,'2019/02/12 15:54:30:368',1,256,448,0.24594,0.109665,0.07191,0.624492,0.661936,0.702897,0.240426,0.280833,0.321368,0.560833,0.00782,0.798149,0.931573,0.983034,0.015844,0.260499,0.689715,0.079436,0.472163
95,'2019/02/12 15:54:30:454',1,262,446,0.24594,0.109665,0.07191,0.624492,0.661936,0.702897,0.240426,0.280833,0.321368,0.560833,0.00782,0.798149,0.931573,0.983034,0.015844,0.260499,0.689715,0.079436,0.472163
96,'2019/02/12 15:54:38:338',1,334,443,0.621723,0.208416,0.324283,0.605419,0.588178,0.57754,0.218035,0.280468,0.65235,0.491619,0.517271,0.190899,0.366832,0.921853,0.751323,0.93925,0.217614,0.892247,0.22504
